,FCST,DEM_FCST
17/12/2021,-2,115
18/12/2021,-2,115
19/12/2021,-2,115
20/12/2021,-2,115
21/12/2021,-2,115
22/12/2021,-2,115
23/12/2021,-2,115
24/12/2021,-2,115
25/12/2021,-2,115
26/12/2021,-2,115
27/12/2021,-2,115
28/12/2021,-2,115
29/12/2021,-2,115
30/12/2021,-2,115
