,FCST,DEM_FCST
2021-12-20,-2.4,116.0376294664
2021-12-21,-5.6,122.5422206216
2021-12-22,-6.5,124.371636884
2021-12-23,-6.1,123.5585629896
2021-12-24,-4.3,119.8997304648
2021-12-25,-3.1,117.4605087816
2021-12-26,-2.6,116.4441664136
2021-12-27,-2.0,115.224555572
2021-12-28,-1.8,114.8180186248
2021-12-29,-2.2,115.6310925192
2021-12-30,-2.9,117.0539718344
2021-12-31,-3.5,118.273582676
2022-01-01,-4.1,119.4931935176
2022-01-02,-4.4,120.1029989384
